Lot Name,Address,Price
10001 107 STREET - Lot #383,"MATRIX HOTEL INC. 10001 107 STREETEdmonton, AB","$4.00 per 1st 30 mins, $8 per hr thereafter"
9907 106 Street - Lot #389,"9907 106 Street Edmonton, AB",$6.00 per hour
10744 - Jasper Ave - Lot #40,"10744 Jasper Avenue Edmonton, AB",$5.00 flat Sat and $4.00 flat Sun 6am-6pm
10049 - 107 Street - Lot #256,"10049 - 107 Street Edmonton, AB",$8.00 per hour
10163 - 108 Street - Lot #60,"10163 - 108 Street NW Edmonton, AB",$4.00 per 1 hr
FIRST EDMONTON PLACE - Lot #274,"10665 JASPER AVENUE Edmonton, AB",$2.50 per 30 mins
10179 - 108 Street - Lot #72,"10179 108 Street NW Edmonton, AB",
10644 Jasper Avenue - Lot #10,"10644 Jasper Avenue Edmonton, AB",
10605 Jasper Avenue - Lot #32,"10605 Jasper Avenue Edmonton, AB",Hourly Rates Available Through Meter & hangTag $7.00 per hour
Energy Square - Lot #70,"10109 - 106 Street NW Edmonton, AB",
100 Ave & 105 Street - Lot #9,"10028 - 105th Street NW Edmonton, AB",$6.00 per hr
First Class - Lot #21,"10044 - 105th Street NW Edmonton, AB",$6.00 per hr
10243 - 107th Street NW - Lot #338,"10243 - 107th Street NW Edmonton, AB",$4.00 per hr
Holiday Inn - Lot #352,"10010 - 104th Street NW Edmonton, AB",$4.00 per hr
10030 - 104 Street - Lot #86,"10030 - 104 Street NW Edmonton, AB",5.00 per hr
10316 - 107th Street NW - Lot #435,"10316 - 107th Street NW Edmonton, AB",$4.00 per hr
10405 Jasper Avenue Parkade - Lot #41,"10405 JASPER AVENUE Edmonton, AB",$5.00 per hr
Coast Edmonton - Lot #161,"10155 - 105th Street NW Edmonton, AB",$5.00 per hr
10217 - 106 Street -Knoll Bldg - Lot #444,"10217 - 106 Street Edmonton, AB",$5.00 per hr; 1 hour max
10008 - 103rd Street NW - Lot #380,"10008 - 103rd Street NW Edmonton, AB",$5.00 per hr
101 Ave & 105 Street - Lot #154,"10164 - 105th Street NW Edmonton, AB",$5.00 per hr
Zebra Parkade - Lot #303,"10048 - 103 Street Edmonton, AB","6.00 per hour,"
9925 Bellamy Hill Road NW - Lot #366,"9925 Bellamy Hill Road NW Edmonton, AB",$3.00 per hr
102 Ave & 105 Street - Lot #151,"10233 - 105th Street NW Edmonton, AB",$5.00 per hr
10021 - 102nd Street NW - Lot #284,"10021 - 102nd Street NW Edmonton, AB",$5.00 per hr
