Lot Name,Price
10245 102 St. NW - 102nd Street Parkade,Hourly Rate: CA$15
10180 102 St. NW - Manulife Place Garage,Hourly Rate: CA$3
10211 102 Ave. NW - Don Wheaton YMCA Parkade,Hourly Rate: CA$12.25
9955 Jasper Ave. - Fairmont Hotel Macdonald Lot,Hourly Rate: CA$27
10065 100 St. NW - Fairmont Hotel Valet,Hourly Rate: CA$30
10135 104 St. NW - Melcor Lot,Hourly Rate: CA$15
10344 105 St. NW - Lot C317,Hourly Rate: CA$15
10533 104 Ave. NW - Lot,Hourly Rate: CA$5
10505 Jasper Ave. - Jasper 105 Lot,Hourly Rate: CA$12
10303 107 Ave. NW - Servus Credit Union Lot,Hourly Rate: CA$10
10620 Jasper Ave. - Lot C313 (Boston Pizza),Hourly Rate: CA$8
10541 106 St. NW - C268 Lot,Hourly Rate: CA$5
10551 106 St. - C341 Lot,Hourly Rate: CA$4
10722 103 Ave. NW - Western Supplies Lot,Hourly Rate: CA$5
10708 105 Ave. NW - MacEwan Main Parkade,Hourly Rate: CA$12
10935 105 Ave. - Lot S East,Hourly Rate: CA$5
11310 Jasper Ave. - Mac's Convenience Store Lot,Hourly Rate: CA$6
10137 115th St. NW - Lot C156,Hourly Rate: CA$4
11508 Jasper Ave. - Lot CE26,Hourly Rate: CA$5
11520 100 Ave. NW - Academy Place Parkade,Hourly Rate: CA$12
11 Tommy Banks Way NW - C203 Lot,Hourly Rate: CA$7
8810 112 St. NW - St Stephens College Lot,Hourly Rate: CA$5.50
