Lot Name,Address,Price
1686 Main St West - Lot #76,"1686 Main St W. Hamilton, ON",$4.00 per 2 hrs
160 Main Street West - Lot #75,"160 Main Street West Hamilton, ON",Mon-Fri 5am-6pm $2.00 per half hour or less
Hamilton Citizen Office - Lot #51,"55 Bay Street North Hamilton, ON",$4.00 per 1 hour
Bay & Market - Lot #3,"19 Bay St. N. Hamilton, ON",$2.00 per 30 mins or less (credit or coin only)
114 Main St W - Lot #46,"114 Main St West Hamilton, ON",$2.00 per 30 mins or less (cc or coin only)
26 James St North - Lot #36,"16-24 James St. North Hamilton, ON",$2.50 per 30 mins or less (coin or credit card only)
75 James Street South - Lot #43,"75 James Street South Hamilton, ON",$3.00 per 30 mins or less mon-fri 5am-6pm
Hughson Medical Centre - Lot #6,"165 James St. S. Hamilton, ON",$2.00 per 30 mins or less (credit card and coin)
18 Main Street East - Lot #41,"18 Main Street East Hamilton, ON",$3.00 per 30 mins or less
80 John St N - Lot #42,"80 John Street North Hamilton, ON",$2.50 per 30 mins or less (cc or coin only)
75 John St. N. - Lot #2,"75 John Street North Hamilton, ON","$2.50 per 30 mins or less,  (credit/coin)"
Effort Square and Crowne Plaza - Lot #17,"140 King Street East Hamilton, ON",$1.50 per 30 mins or less (cash only)
140 Jackson Street East - Lot #45,"140 Jackson Street East Hamilton, ON",$1.25 per 30 mins or less (coin or cc only)
769 BRANT STREET - Lot #64,"769 BRANT STREET Hamilton, ON",$2.00 per 30 mins or less (coin or credit card)
399 ELIZABETH STREET - Lot #63,"399 ELIZABETH STREET Hamilton, ON",$2.00 per 30 mins or less  (cc or coin only)
399 ELIZABETH STREET - Lot #63,"399 ELIZABETH STREET Hamilton, ON",$2.00 per 30 mins or less  (cc or coin only)
