Lot Name,Address,Price
21 FITZGERALD - Lot #99,"21 Fitzgerald Road Ottawa, ON",Monthly parking only
25 FITZGERALD - Lot #100,"25 Fitzgerald Road Ottawa, ON",$1.50 per 30 mins
20 FITZGERALD ROAD - Lot #103,"20 Fitzgerald Road Ottawa, ON",$1.50 per 30 mins between (5am to 6pm)
35 FITZGERALD ROAD - Lot #101,"35 Fitzgerald Road Ottawa, ON",$1.50 per 30 mins
303 MOODIE DRIVE - Lot #106,"303 MOODIE DRIVE Ottawa, ON",NA
Graham Spry Building - Lot #65,"250 Lanark Avenue Ottawa, ON",$2.00 per half hr (between 5am to 5pm)
Mountain Equipment Co-op Store - Lot #17,"366 Richmond Road Ottawa, ON",$1.00 per hr
L'IMPRIMERIE NATIONALE - Lot #109,"45 BOUL SACRE-COEUR Ottawa, ON",$ 5.00 day max  $ 3.00 for ½ day   $ 1.00 per hour
Tunney's Pasture Driveway - Lot #63,"150 Tunney's Pasture Driveway Ottawa, ON",$2.00 per hr
Forward Ave - Lot #85,"143 Forward Ave Ottawa, ON",$8.00 flat - 24 hrs
Carling Executive Park - Lot #33,"1565 Carling Avenue Ottawa, ON",2.00 per half hour
Churchill Business Park - Lot #36,"1600 Carling Avenue Ottawa, ON",$2.00 per 30 mins
PLACE VICTORIA - Lot #96,"30 rue Victoria Ottawa, ON",Tennant parking only
105 Hotel de Ville - Lot #40,"105 Rue de l'Hôtel-de-Ville Ottawa, ON",
Royal Oak Pub - Lot #46,"1225 Wellington Street West Ottawa, ON",$2.00 per half hr
Lady Grey Drive - Lot #163,"7 Lady Grey Drive Ottawa, ON",$11.00
Library & National Archives - Lot #77,"395 Wellington Street Ottawa, ON",$2.00 per half hr    6 am to 6 pm
Diefenbaker Building - Lot #151,"111 Sussex Drive Ottawa, ON","first ten minutes is a grace period, $2.50 per 1/2 hour after that."
Lester B Pearson - Lot #152,"125 Sussex Drive Ottawa, ON",
East Memorial Building - Lot #78,"284 Wellington Street Ottawa, ON",Monthly parking only
Lasalle Academy - Lot #79,"373 Sussex Drive Ottawa, ON",Monthly Parking Only
Place De Ville - Lot #57,"320 Queen Street Ottawa, ON",$3.00 per half hour from 6 am 5.30 pm
