Lot Address,Lot Name,Price,Duration
"235 Queen St, Ottawa, ON",Lot #75,$0.00,1 hour
"110 Laurier Ave W, Ottawa, ON",City Hall,$1.00,1 hour
"400 Cooper St, Ottawa, ON",400 Cooper St Garage,$1.00,1 hour
"234-250 Slater St, Ottawa, ON",Lot 9,$2.00,1 hour
"129 Catherine St, Ottawa, ON",129 Catherine St Parking,$2.00,1 hour
"212 Gloucester St, Ottawa, ON",Lot 3,$2.00,1 hour
"687 Somerset St W, Ottawa, ON",Lot 11,$2.50,1 hour
"97 Gloucester St, Ottawa, ON",Lot 8,$3.00,1 hour
"96/100 Nepean St, Ottawa, ON",96/100 Nepean St Parking,$3.00,1 hour
"574 Bank St, Ottawa, ON",574 Bank St Parking,$3.00,1 hour
"360 Catherine St, Ottawa, ON",Lot #05,$4.00,1 hour
"485 Bank St, Ottawa, ON",485 Bank St Parking,$4.00,1 hour
"265 Laurier Ave W, Ottawa, ON",265 Laurier Ave W Garage,$4.00,1 hour
"307 Lisgar St, Ottawa, ON",307 Lisgar St Parking,$4.00,1 hour
"267 O'Connor St, Ottawa, ON",267 O'Connor St Parking,$4.50,1 hour
"260 MacLaren St, Ottawa, ON",260 MacLaren St Parking,$5.00,1 hour
"315 Somerset St W, Ottawa, ON",315 Somerset St W Parking,$5.00,1 hour
"372 Gilmour St, Ottawa, ON",372 Gilmour St Parking,$5.00,1 hour
"320 Queen St, Ottawa, ON",Place De Ville,$5.00,1 hour
"699 Somerset St W, Ottawa, ON",699 Somerset St W Parking,$5.00,1 hour
"45 O'Connor St, Ottawa, ON",World Exchange Plaza,$5.00,1 hour
"150 Elgin St, Ottawa, ON",Lot 97,$5.00,1 hour
"160 Elgin St, Ottawa, ON",One 60,$5.00,1 hour
"350 Albert St, Ottawa, ON",Lot #30,$5.00,1 hour
"354 Gladstone Ave, Ottawa, ON",Gladstone Shoppers Drugmart,$5.50,1 hour
"407 Queen St, Ottawa, ON",407 Queen St Parking,$6.00,1 hour
"413 Bank St, Ottawa, ON",413 Bank St Parking,$6.00,1 hour
"272 Queen St, Ottawa, ON",Lot #160,$6.00,1 hour
"1 Elgin St, Ottawa, ON",National Arts Centre,$6.00,1 hour
"29 Cartier St, Ottawa, ON",St Theresa,$7.00,1 hour
"140 Somerset St W, Ottawa, ON",St John's Church,$7.00,1 hour
"280 Slater St, Ottawa, ON",Lot #62,$8.00,1 hour
"193 Metcalfe St, Ottawa, ON",193 Metcalfe St Garage,$9.00,1 hour
"361 Lisgar St, Ottawa, ON",361 Lisgar St Parking,$12.00,1 hour
"350 Somerset St W, Ottawa, ON",350 Somerset St W Parking,$13.00,1 hour
"88 Metcalfe St, Ottawa, ON",88 Metcalfe St Parking,$13.00,1 hour
"138 Gloucester St, Ottawa, ON",138 Gloucester St Parking,$13.00,1 hour
"100 Gloucester St, Ottawa, ON",100 Gloucester St Parking,$14.00,1 hour
"275 Bank St, Ottawa, ON",275 Bank St Garage,$15.00,1 hour
"270 Albert St, Ottawa, ON",270 Albert St Garage,$17.00,1 hour
"191 Laurier Ave W, Ottawa, ON",191 Laurier Ave W Garage,$20.00,1 hour
"383 Albert St, Ottawa, ON",Lyon & Albert,—,1 hour
"382 Albert St, Ottawa, ON",382 Albert St Parking,—,1 hour
"381 Kent St, Ottawa, ON",381 Kent St Parking,—,1 hour
"99 Bank St, Ottawa, ON",Sun Life Financial Centre,—,1 hour
"261 Somerset St W, Ottawa, ON",261 Somerset St W Parking,—,1 hour
"588 Booth St, Ottawa, ON",Lot #66,—,1 hour
"131 Queen St, Ottawa, ON",131 Queen St Parking,—,1 hour
"407 Laurier Ave W, Ottawa, ON",Minto Place,—,1 hour
"151 Slater St, Ottawa, ON",151 Slater St Garage,—,1 hour
"300 Laurier Ave W, Ottawa, ON",L'Esplanade AutoPark,—,1 hour
"91 Nepean St, Ottawa, ON",91 Nepean St Parking,—,1 hour
"84 Nepean St, Ottawa, ON",84 Nepean St Parking,—,1 hour
"66 Slater St, Ottawa, ON",66 Slater St Garage,—,1 hour
"101 Lyon St N, Ottawa, ON",Place De Ville,$6.00,1 hour
"161 Laurier Ave W, Ottawa, ON",The Carleton Suite Hotel,$25.00,1 hour
"715 Cooper St, Ottawa, ON",Rideau Curling Club,—,1 hour
"403 Bank St, Ottawa, ON",Staples,—,1 hour
